m/n,solutions,,,
0.640625,0,,,
0.6484375,0,,,
0.6484375,0,,,
0.6484375,0,,,
0.6484375,0,,,
0.6484375,0,,,
0.64453125,0,,,
0.64453125,0,,,
0.64453125,0,,,
0.64453125,0,,,
0.64453125,0,,,
0.66015625,0,,,
0.66015625,0,,,
0.66015625,0,,,
0.66015625,0,,,
0.66015625,0,,,
0.65625,0,,,
0.65625,0,,,
0.65625,0,,,
0.65625,0,,,
0.65625,0,,,
0.671875,0,,,
0.671875,0,,,
0.671875,0,,,
0.671875,0,,,
0.671875,0,,,
0.65625,0,,,
0.65625,0,,,
0.65625,0,,,
0.65625,0,,,
0.65625,0,,,
0.66796875,0,,,
0.66796875,0,,,
0.66796875,0,,,
0.66796875,0,,,
0.66796875,0,,,
0.67578125,0,,,
0.67578125,0,,,
0.67578125,0,,,
0.67578125,0,,,
0.67578125,0,,,
0.66796875,0,,,
0.66796875,0,,,
0.66796875,0,,,
0.66796875,0,,,
0.66796875,0,,,
0.6796875,0,,,
0.6796875,0,,,
0.6796875,0,,,
0.6796875,0,,,
0.6796875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6875,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.6953125,0,,,
0.703125,0,,,
0.703125,0,,,
0.703125,0,,,
0.703125,0,,,
0.703125,0,,,
0.71484375,0,,,
0.71484375,0,,,
0.71484375,0,,,
0.71484375,0,,,
0.71484375,0,,,
0.71875,0,,,
0.71875,0,,,
0.71875,0,,,
0.71875,0,,,
0.71875,0,,,
0.7109375,0,,,
0.7109375,0,,,
0.7109375,0,,,
0.7109375,0,,,
0.7109375,0,,,
0.71875,0,,,
0.71875,0,,,
0.71875,0,,,
0.71875,0,,,
0.71875,0,,,
0.73046875,0,,,
0.73046875,0,,,
0.73046875,0,,,
0.73046875,0,,,
0.73046875,0,,,
0.73828125,0,,,
0.73828125,0,,,
0.73828125,0,,,
0.73828125,0,,,
0.73828125,0,,,
0.7265625,0,,,
0.7265625,0,,,
0.7265625,0,,,
0.7265625,0,,,
0.7265625,0,,,
0.734375,0,,,
0.734375,0,,,
0.734375,0,,,
0.734375,0,,,
0.734375,0,,,
0.7421875,0,,,
0.7421875,0,,,
0.7421875,0,,,
0.7421875,0,,,
0.7421875,0,,,
0.74609375,0,,,
0.74609375,0,,,
0.74609375,0,,,
0.74609375,0,,,
0.74609375,0,,,
0.75,0,,,
0.75,0,,,
0.75,0,,,
0.75,0,,,
0.75,0,,,
0.75,1,,,
0.75,0,,,
0.75,0,,,
0.75,0,,,
0.75,0,,,
0.75390625,0,,,
0.75390625,0,,,
0.75390625,0,,,
0.75390625,0,,,
0.75390625,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.76953125,0,,,
0.7734375,0,,,
0.7734375,0,,,
0.7734375,0,,,
0.7734375,0,,,
0.7734375,0,,,
0.77734375,0,,,
0.77734375,0,,,
0.77734375,0,,,
0.77734375,0,,,
0.77734375,0,,,
0.78125,0,,,
0.78125,0,,,
0.78125,0,,,
0.78125,0,,,
0.78125,0,,,
0.7890625,0,,,
0.7890625,0,,,
0.7890625,0,,,
0.7890625,0,,,
0.7890625,0,,,
0.78125,0,,,
0.78125,0,,,
0.78125,0,,,
0.78125,0,,,
0.78125,0,,,
0.796875,0,,,
0.796875,0,,,
0.796875,0,,,
0.796875,0,,,
0.796875,0,,,
0.796875,0,,,
0.796875,0,,,
0.796875,0,,,
0.796875,0,,,
0.796875,0,,,
0.8046875,0,,,
0.8046875,0,,,
0.8046875,0,,,
0.8046875,0,,,
0.8046875,0,,,
0.80078125,0,,,
0.80078125,0,,,
0.80078125,0,,,
0.80078125,0,,,
0.80078125,0,,,
0.8125,0,,,
0.8125,0,,,
0.8125,0,,,
0.8125,0,,,
0.8125,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.81640625,0,,,
0.8203125,0,,,
0.8203125,0,,,
0.8203125,0,,,
0.8203125,0,,,
0.8203125,0,,,
0.828125,0,,,
0.828125,0,,,
0.828125,0,,,
0.828125,0,,,
0.828125,0,,,
0.82421875,0,,,
0.82421875,0,,,
0.82421875,0,,,
0.82421875,0,,,
0.82421875,0,,,
0.828125,0,,,
0.828125,0,,,
0.828125,0,,,
0.828125,0,,,
0.828125,0,,,
0.83203125,0,,,
0.83203125,0,,,
0.83203125,0,,,
0.83203125,0,,,
0.83203125,0,,,
0.83984375,0,,,
0.83984375,0,,,
0.83984375,0,,,
0.83984375,0,,,
0.83984375,0,,,
0.84375,0,,,
0.84375,0,,,
0.84375,0,,,
0.84375,0,,,
0.84375,0,,,
0.85546875,0,,,
0.85546875,0,,,
0.85546875,0,,,
0.85546875,0,,,
0.85546875,0,,,
